,OrdereinstellungenAnzahl,GeschaefteAnzahl,GeschaefteKurswert,OrderloeschungenAnzahl,OrderaenderungenAnzahl,KurswertMedian,OrdereinstellungenWertMedian,MarketMakerAnzahl,ISIN,date
145,10,1,1457.85,0,0,1457.85,50,1,IE00BBQ2W338,2020-12-01
146,8,1,2520.0,0,0,2520.0,4000,1,DE000LS76FP1,2020-12-01
147,5,3,4374.0,0,0,1251.0,200,1,DE000LS8G0V5,2020-12-01
148,4,2,38080.0,0,0,19040.0,1700,1,US8968181011,2020-12-01
149,68,4,44394.6,0,0,11293.0,2300,1,US91381U1016,2020-12-01
151,2,1,5680.0,0,0,5680.0,1000,1,ES0176252718,2020-12-01
152,270,32,241166.24,0,0,3710.5,1,1,DE0005190003,2020-12-01
153,6,1,2940.0,0,0,2940.0,150,1,AU000000WTC3,2020-12-01
154,32,3,10933.87,0,0,1122.5,1,1,US64110D1046,2020-12-01
155,12,4,53225.0,0,0,12875.0,1,1,DE000LS8H3Y2,2020-12-01
156,12,3,42163.2,0,0,2104.2,200,1,SE0000103699,2020-12-01
157,25,11,169847.85,0,0,1320.0,25,1,DE000LS76WR2,2020-12-01
158,5,1,11100.0,0,0,11100.0,500,1,US3596641098,2020-12-01
159,17,3,3081.0,0,0,531.0,900,1,DE000LS7BJ47,2020-12-01
160,4,2,3064.14,0,0,2071.44,63,1,US40637H1095,2020-12-01
161,2,1,110.0,0,0,110.0,1000,1,DE000LS72KF1,2020-12-01
162,3,1,4375.0,0,0,4375.0,35,1,DE000ETFL300,2020-12-01
163,3,1,8931.58,0,0,8931.58,262,1,US31572Q8087,2020-12-01
165,4,1,3400.0,0,0,3400.0,2000,1,DE000LS71HC6,2020-12-01
166,4,1,3500.0,0,0,3500.0,20,1,US7611521078,2020-12-01
167,5,2,2440.0,0,0,1560.0,900,1,DE000LS8NX02,2020-12-01
168,101,10,69126.44,0,0,7257.0,0,1,DE000A13SX22,2020-12-01
169,1,1,51.492,0,0,51.492,3,1,IE00BCHWNT26,2020-12-01
173,4,2,10299.7,0,0,5219.7,4110,1,DE000LS7B8R2,2020-12-01
174,6,3,2757.6,0,0,1114.0,310,1,DE000LS8G0W3,2020-12-01
175,284,18,133267.4,0,0,2447.5,1,1,DE000EWG0LD1,2020-12-01
177,5,1,5559.0,0,0,5559.0,51,1,US8865471085,2020-12-01
