,OrdereinstellungenAnzahl,GeschaefteAnzahl,GeschaefteKurswert,OrderloeschungenAnzahl,OrderaenderungenAnzahl,KurswertMedian,OrdereinstellungenWertMedian,MarketMakerAnzahl,ISIN,date
2618,35,2,6985.0,0,0,3810.0,5000,1,HK0267001375,2020-12-03
2619,32,12,88038.5,0,0,8487.0,1700,1,NO0010890304,2020-12-03
2620,32,6,7472.7,0,0,1280.0,7000,1,DE000LS8M2S9,2020-12-03
2621,1,1,1225.0,0,0,1225.0,500,1,DE000LS8L8A5,2020-12-03
2623,8,2,8318.0,0,0,4620.0,25,1,US98138H1014,2020-12-03
2625,5,1,1529.0,0,0,1529.0,100,1,CA8283631015,2020-12-03
2627,31,2,3769.6,0,0,3040.0,100,1,US92556H2067,2020-12-03
2628,4,1,414.2,0,0,414.2,2,1,DE000LS9HY16,2020-12-03
2629,41,8,48869.57,0,0,2060.8,1286,1,AT00000FACC2,2020-12-03
2632,11,1,1983.7,0,0,1983.7,1,1,JE00BF50RG45,2020-12-03
2633,107,13,46795.87,0,0,2512.89,108,1,US0937121079,2020-12-03
2634,29,2,2190.0,0,0,1100.0,45,1,US81374A1051,2020-12-03
2635,1,1,1017.6,0,0,1017.6,640,1,DE000LS74R49,2020-12-03
2636,4,2,4071.85,0,0,2908.25,25,1,DE000LS9QRH0,2020-12-03
2637,3,1,1800.0,0,0,1800.0,200,1,IE00B91XRN20,2020-12-03
2638,42,1,5.794,0,0,5.794,1,1,CA6295231014,2020-12-03
2640,66,3,3408.01,0,0,193.525,1,1,DE0002635307,2020-12-03
2641,9,2,5735.25,0,0,3829.0,51,1,US1717793095,2020-12-03
2644,7,2,1590.0,0,0,1044.0,10,1,AT0000818802,2020-12-03
2645,1,1,22.5,0,0,22.5,250,1,DE000LS7G7H0,2020-12-03
2646,8,1,28829.7,0,0,28829.7,2575,1,LU1681045024,2020-12-03
2647,1,1,4450.0,0,0,4450.0,500,1,DE000A0V9LA7,2020-12-03
2648,3,1,350.0,0,0,350.0,1,1,CA13646R1038,2020-12-03
2650,6,2,695.91,0,0,396.0,769,1,DE000LS8LR10,2020-12-03
2653,21,4,19846.75,0,0,2218.0,4,1,US4370761029,2020-12-03
2654,109,7,11722.524,0,0,1681.94,100,1,US53814L1089,2020-12-03
2655,21,4,5287.5,0,0,1630.0,50,1,DE0005854343,2020-12-03
2656,3,2,2588.0,0,0,1296.0,100,1,IT0005239881,2020-12-03
2657,14,2,4430.0,0,0,2879.5,3000,1,US30233G1004,2020-12-03
2658,10,1,540.0,0,0,540.0,100,1,BMG7738W1064,2020-12-03
2659,9,3,2273.16,0,0,997.0,500,1,CA63010A1030,2020-12-03
2663,1,1,4055.0,0,0,4055.0,500,1,DE000LS6H008,2020-12-03
2664,121,22,43142.1,0,0,1020.0,1,1,CH0013841017,2020-12-03
2666,6,1,9900.16,0,0,9900.16,32,1,DE000LS9BNL3,2020-12-03
2667,6,1,3580.0,0,0,3580.0,100,1,IL0011267213,2020-12-03
2668,5,3,61001.904,0,0,12494.664,3,1,CH0445689208,2020-12-03
2669,1,1,4355.325,0,0,4355.325,45,1,LU0444606700,2020-12-03
2671,1,1,290.0,0,0,290.0,1000,1,DE000LS8LR28,2020-12-03
2672,13,3,7070.0,0,0,1790.0,50,1,DE0005408686,2020-12-03
2673,6,1,732.0,0,0,732.0,300,1,AU000000CHN7,2020-12-03
2676,31,1,90.12,0,0,90.12,1,1,NL0000009165,2020-12-03
2677,26,2,1975.55,0,0,1238.0,16,1,US6668071029,2020-12-03
2678,1,1,270.0,0,0,270.0,900,1,DE000LS75TT6,2020-12-03
2679,9,1,4420.0,0,0,4420.0,8500,1,DE000LS78UM3,2020-12-03
2682,4,2,7508.4,0,0,5018.4,1020,1,DE000LS8BU33,2020-12-03
2684,5,3,4775.8,0,0,1490.0,20,1,DE000LS4ZR91,2020-12-03
2685,1,1,2227.8,0,0,2227.8,395,1,DE000LS6Z4C6,2020-12-03
2687,14,3,16341.0,0,0,4700.0,1000,1,DE000A1NZLP1,2020-12-03
2692,8,2,1201.98,0,0,1090.8,60,1,DE000LS69VK4,2020-12-03
2693,1,1,351.0,0,0,351.0,650,1,DE000LS75CS4,2020-12-03
2694,1,1,620.0,0,0,620.0,20,1,US0537741052,2020-12-03
2696,8,1,504.6,0,0,504.6,1150,1,US37229T3014,2020-12-03
2697,2,1,2520.0,0,0,2520.0,4000,1,DE000LS8F6J8,2020-12-03
2699,38,13,36380.69,0,0,1797.48,3,1,DE000LS9HXM7,2020-12-03
2700,3,1,10060.08,0,0,10060.08,1,1,MXP370841019,2020-12-03
2702,3,1,7267.5,0,0,7267.5,100,1,LU1737652310,2020-12-03
2703,151,14,62896.05,0,0,2780.1,1,1,CA4969024047,2020-12-03
2704,17,2,4201.9,0,0,2873.6,22,1,PLKGHM000017,2020-12-03
2705,129,18,56859.11,0,0,1619.94,35,1,IE00B3RBWM25,2020-12-03
2706,7,2,739.6,0,0,640.0,1000,1,DE000LS76X98,2020-12-03
2707,4,1,6110.4,0,0,6110.4,1200,1,US14713L1026,2020-12-03
2708,5,2,2127.0,0,0,1155.0,1200,1,DE000LS8F6L4,2020-12-03
2710,1,1,769.0,0,0,769.0,100,1,DE000LS8C5S4,2020-12-03
2711,6,4,8786.5,0,0,2688.0,270,1,DE000LS8BU41,2020-12-03
2713,1,1,542.48,0,0,542.48,10,1,IE00B4556L06,2020-12-03
2717,15,2,7987.075,0,0,6577.9,20,1,IE00B2NPKV68,2020-12-03
2718,900,29,279036.0,0,0,2720.0,1,1,US22788C1053,2020-12-03
2719,10,4,9267.66,0,0,1634.0,350,1,DE000LS8B2P8,2020-12-03
2720,69,3,7523.5,0,0,2334.0,0,1,US67059N1081,2020-12-03
2721,52,9,55580.6,0,0,9973.1,1,1,US6311031081,2020-12-03
2724,31,8,40935.0,0,0,4466.0,40,1,DE000A0JCY11,2020-12-03
2725,1,1,1575.0,0,0,1575.0,500,1,DE000LS4ZR83,2020-12-03
2727,2,1,3750.0,0,0,3750.0,2500,1,DE000LS1L0U7,2020-12-03
2728,22,6,37712.0,0,0,3210.0,50,1,DE0005759807,2020-12-03
2729,2,1,11.188,0,0,11.188,34,1,IE00B6S2Z822,2020-12-03
2730,2,2,1453.8,0,0,1089.0,1100,1,DE000LS8K4Y5,2020-12-03
2731,145,1,2016.0,0,0,2016.0,0,1,AU000000DCC9,2020-12-03
2735,343,19,57015.883,0,0,810.0,1,1,US3682872078,2020-12-03
2737,5,3,83290.96,0,0,19945.75,550,1,LU0292109856,2020-12-03
2738,5,1,246.05,0,0,246.05,5,1,DE0006289390,2020-12-03
2739,17,3,14877.46,0,0,7165.0,1,1,DE000LS9KZ51,2020-12-03
2740,3,1,710.4,0,0,710.4,90,1,JP3404200002,2020-12-03
2741,1,1,7450.0,0,0,7450.0,1000,1,DE000LS6ZF44,2020-12-03
2742,1,1,90.0,0,0,90.0,225,1,DE000LS8HW35,2020-12-03
2748,4,1,6108.8,0,0,6108.8,1900,1,IT0003497168,2020-12-03
2749,15,2,5442.89,0,0,4162.0,114,1,US1894641000,2020-12-03
2751,18,3,10691.74,0,0,4650.5,50,1,DE0006289382,2020-12-03
2752,33,1,962.0,0,0,962.0,500,1,US30048L1044,2020-12-03
2753,7,1,748.8,0,0,748.8,120,1,IT0003856405,2020-12-03
2754,6,4,6099.1,0,0,465.0,500,1,DE000LS72CJ0,2020-12-03
2760,2,1,1859.781,0,0,1859.781,249,1,IE00BD1F4L37,2020-12-03
2761,6,1,1199.7,0,0,1199.7,30,1,CA67077M1086,2020-12-03
2762,3,3,33644.75,0,0,7940.75,1150,1,DE000A1NZLQ9,2020-12-03
2765,124,1,2740.0,0,0,2740.0,0,1,CNE1000001S0,2020-12-03
2766,136,10,63563.22,0,0,5960.0,0,1,DE0005909006,2020-12-03
2767,41,9,37941.07,0,0,2170.0,300,1,US38268T1034,2020-12-03
2769,1,1,4982.4,0,0,4982.4,90,1,LU1563454823,2020-12-03
2770,56,4,77652.6,0,0,13318.0,150,1,US11135F1012,2020-12-03
2771,27,2,4328.7,0,0,2167.2,4500,1,US64118P1093,2020-12-03
2772,17,6,13464.4,0,0,820.0,3000,1,DE000LS8DB67,2020-12-03
2773,3,3,7326.4,0,0,568.5,2,1,FR0010688192,2020-12-03
2774,20,1,1775.68,0,0,1775.68,0,1,NL0009805522,2020-12-03
2775,41,12,142254.0,0,0,1192.5,24,1,US23804L1035,2020-12-03
2776,2,1,3105300.0,0,0,3105300.0,30000,1,DE000DB7XJJ2,2020-12-03
2777,8,1,103.0,0,0,103.0,1,1,JP3385820000,2020-12-03
2778,3,1,745.0,0,0,745.0,1500,1,US29272C1036,2020-12-03
2779,1,1,83.26,0,0,83.26,92,1,US7743741024,2020-12-03
2782,5,2,2724.0,0,0,1974.0,7000,1,CNE1000001T8,2020-12-03
2783,2,2,635.0,0,0,420.0,1000,1,DE000LS6Z505,2020-12-03
2785,78,15,93151.42,0,0,2454.4,15,1,US9311421039,2020-12-03
2786,2,2,652.47,0,0,326.84,1,1,DE000LS9AKT4,2020-12-03
2787,43,13,244199.195,0,0,9552.125,200,1,FR0000131906,2020-12-03
2788,5,2,13080.0,0,0,6540.0,120,1,IL0010845571,2020-12-03
2790,15,3,11127.4,0,0,2027.2,20,1,US0258161092,2020-12-03
2791,10,1,3087.875,0,0,3087.875,580,1,GRS003003035,2020-12-03
2792,1,1,120.0,0,0,120.0,100,1,DE000LS748L7,2020-12-03
2793,1,1,4834.42,0,0,4834.42,47,1,DE000LS9QAQ7,2020-12-03
2794,218,11,27124.6,0,0,1842.0,5,1,DE000A2N4H07,2020-12-03
2796,14,2,2125.85,0,0,1119.35,305,1,DE000LS6QL96,2020-12-03
2797,1,1,48.2,0,0,48.2,50,1,NO0010112675,2020-12-03
2799,55,3,17845.0,0,0,5550.0,1500,1,US86803X2045,2020-12-03
2801,17,3,23055.6,0,0,5394.0,25,1,US0126531013,2020-12-03
2804,1,1,1092.0,0,0,1092.0,1200,1,DE000LS8EV96,2020-12-03
2806,1,1,766.0,0,0,766.0,100,1,DE000LS6ZF36,2020-12-03
2807,11,1,12403.08,0,0,12403.08,100,1,LU1900066207,2020-12-03
2808,904,43,385396.578,0,0,4339.5,752,1,DE0007500001,2020-12-03
2809,5,2,778.9,0,0,520.0,10,1,DE000LED4000,2020-12-03
2810,17,3,5283.0,0,0,1010.52,60,1,US26210C1045,2020-12-03
2811,2,1,242.0,0,0,242.0,440,1,CA3564552048,2020-12-03
2813,1,1,50.0,0,0,50.0,800,1,CA13739Y3041,2020-12-03
2814,20,2,455.5,0,0,367.5,128,1,DE000LS8PV85,2020-12-03
2815,119,4,5628.08,0,0,1537.0,10000,1,CA66510M2040,2020-12-03
2817,259,17,86060.38,0,0,4838.0,250,1,DE0006305006,2020-12-03
2818,134,9,41049.436,0,0,1256.7,0,1,DE0006013006,2020-12-03
2819,1,1,648.0,0,0,648.0,100,1,DE000LS6G5G7,2020-12-03
2821,8,3,6528.06,0,0,1327.5,250,1,DE000LS8CP05,2020-12-03
2822,7,1,5336.28,0,0,5336.28,610,1,CA1520061021,2020-12-03
2824,204,6,26524.65,0,0,5028.0,1,1,US5010441013,2020-12-03
2825,4,2,52905.0,0,0,26485.0,1000,1,US7033951036,2020-12-03
2826,48,6,15211.0,0,0,2350.6,1,1,US00760J1088,2020-12-03
2827,6,3,28308.428,0,0,4950.948,62,1,IE00B3ZW0K18,2020-12-03
2829,3,3,1491.0,0,0,126.0,100,1,DE000LS748J1,2020-12-03
2830,17,3,27466.74,0,0,359.1,100,1,NO0005052605,2020-12-03
2832,2,2,245.3,0,0,124.3,55,1,DE000LS8P3Q8,2020-12-03
2833,38,2,13865.9,0,0,8860.0,60,1,AT0000785407,2020-12-03
2834,1,1,312.0,0,0,312.0,100,1,DE000LS6QL70,2020-12-03
2835,1,1,2899.0,0,0,2899.0,1115,1,DE000LS8G9X2,2020-12-03
2836,3,1,1460.0,0,0,1460.0,50,1,US1261171003,2020-12-03
2838,1,1,16590.0,0,0,16590.0,3000,1,DE000LS6G5F9,2020-12-03
2839,3,1,29756.32,0,0,29756.32,53,1,IE00B3YCGJ38,2020-12-03
2841,11,2,2209.62,0,0,1924.8,200,1,GB00BDR05C01,2020-12-03
2842,160,14,163339.0,0,0,7320.0,1,1,DE0007165631,2020-12-03
2845,13,1,123.0,0,0,123.0,3000,1,AU000000HXG7,2020-12-03
2848,139,2,622.5,0,0,420.0,0,1,CA00401G1090,2020-12-03
2850,1,1,95.12,0,0,95.12,1,1,US8326964058,2020-12-03
2852,23,4,6191.67,0,0,2534.0,63,1,US6826801036,2020-12-03
2853,25,5,78539.6,0,0,16490.0,800,1,US76118Y1047,2020-12-03
2854,1,1,112.0,0,0,112.0,80,1,DE000LS8A8H3,2020-12-03
2857,11,6,15596.52,0,0,3200.0,5000,1,DE000LS8DB26,2020-12-03
2858,6,3,36167.79,0,0,8475.0,1500,1,DE000LS8EV70,2020-12-03
2859,12,2,4260.8,0,0,4163.0,60,1,DE000LS8P3R6,2020-12-03
2860,9,3,16252.56,0,0,3425.87,7,1,DE000LS9BNT6,2020-12-03
2861,2,1,4630.0,0,0,4630.0,100,1,CH0276534614,2020-12-03
2864,14,1,1840.0,0,0,1840.0,37,1,DE000LS6QL88,2020-12-03
2866,243,6,78128.31,0,0,4634.12,10,1,DE000LS9BFD6,2020-12-03
2868,410,39,131149.816,0,0,1552.0,1400,1,GB00B15FWH70,2020-12-03
2871,75,10,44354.0,0,0,4816.0,1,1,US7960502018,2020-12-03
2874,3285,258,1010227.385,0,0,1863.0,50,1,CNE100000296,2020-12-03
2877,5,1,1110.0,0,0,1110.0,500,1,CA30069C8016,2020-12-03
2878,5,2,2467.0,0,0,1456.0,30000,1,CA55303L1013,2020-12-03
2881,8,4,30910.0,0,0,6820.0,10,1,DE0007165607,2020-12-03
2882,42,17,33454.1,0,0,1775.0,300,1,DE000LS752Z9,2020-12-03
2883,13,2,16934.54,0,0,14581.7,1,1,DE000LS9NR58,2020-12-03
2884,617,77,623737.38,0,0,3937.5,55,1,DE000SHL1006,2020-12-03
2885,2,1,900.0,0,0,900.0,1000,1,DE000LS8A066,2020-12-03
2886,173,14,45002.22,0,0,1882.4,200,1,DE000A0DJ6J9,2020-12-03
2888,8,4,62786.15,0,0,30712.5,30,1,US25278X1090,2020-12-03
2891,39,8,13025.45,0,0,1675.0,1714,1,DE000LS79GX7,2020-12-03
2892,14,1,114.8,0,0,114.8,1,1,KYG7397A1067,2020-12-03
2893,6,2,1943.74,0,0,1493.38,2,1,DE000LS9NZE7,2020-12-03
2896,2,1,6006.0,0,0,6006.0,40,1,DE000LS9PWZ4,2020-12-03
2898,8,3,6017.518,0,0,567.28,35,1,IE00B652H904,2020-12-03
2899,18,1,3588.0,0,0,3588.0,14,1,DE000LS6QL62,2020-12-03
2901,3,1,1053.0,0,0,1053.0,1,1,DE000LS64GC3,2020-12-03
2904,139,1,205.5,0,0,205.5,0,1,DE000A0EQ578,2020-12-03
2905,28,5,34999.424,0,0,4545.0,140,1,IE00B7KMNP07,2020-12-03
2906,21,4,48280.0,0,0,22950.0,1,1,US4500561067,2020-12-03
2907,28,4,600.0,0,0,150.0,10000,1,CA15138B1085,2020-12-03
2908,10,1,66478.72,0,0,66478.72,28,1,LU0290357929,2020-12-03
2910,32,2,4031.0,0,0,3249.0,8000,1,CA98959U1084,2020-12-03
2912,5,2,799.73,0,0,685.44,1,1,DE000LS9QEB1,2020-12-03
2913,1,1,34.0,0,0,34.0,100,1,DE000LS6ZA23,2020-12-03
2914,7,2,1334.5,0,0,1220.0,50,1,DE000LS8M6L5,2020-12-03
2918,11,2,3492.0,0,0,2427.84,27,1,US7434241037,2020-12-03
2919,2052,123,897860.84,0,0,3707.0,1,1,DE0005785604,2020-12-03
2920,2,1,941.6,0,0,941.6,280,1,US83088M1027,2020-12-03
2922,4,2,5197.56,0,0,3117.1,610,1,DE000LS7H667,2020-12-03
2924,50,5,51811.795,0,0,5095.305,40,1,DE000A1EK0H1,2020-12-03
2926,9,1,370.24,0,0,370.24,501,1,US45166V1061,2020-12-03
2929,4,2,13602.291,0,0,11653.635,48,1,IE00B4L5YX21,2020-12-03
2930,9,1,6000.0,0,0,6000.0,4000,1,DE000LS8M6M3,2020-12-03
2931,19,4,15610.074,0,0,4882.724,350,1,ZAE000015228,2020-12-03
2933,13,1,159.2,0,0,159.2,1,1,DE000LS8L3J7,2020-12-03
2938,1,1,298.5,0,0,298.5,150,1,DE000LS7S672,2020-12-03
2939,275,14,76680.55,0,0,3924.0,1,1,CH0038389992,2020-12-03
2940,5,1,634.4,0,0,634.4,10,1,LU0629460089,2020-12-03
2948,50,29,454622.28,0,0,12063.0,45,1,DE000A1EK0G3,2020-12-03
2950,33,5,37767.0,0,0,5250.0,20,1,CA0089118776,2020-12-03
2951,20,2,3915.0,0,0,2618.0,31,1,US5790631080,2020-12-03
2952,2,2,4729.18,0,0,2800.0,100,1,US69553P1003,2020-12-03
2954,34,2,699.744,0,0,466.576,210,1,IE00BK1PV551,2020-12-03
2955,14,1,220.0,0,0,220.0,1000,1,DE000LS8N9M6,2020-12-03
2956,134,96,1830972.56,0,0,14870.0,100,1,DE000A1EK0J7,2020-12-03
2957,5,4,19684.0,0,0,4921.0,370,1,US29446M1027,2020-12-03
2960,1,1,4600.0,0,0,4600.0,10000,1,DE000LS78PX0,2020-12-03
2961,47,9,48679.093,0,0,3291.643,73,1,LU0635178014,2020-12-03
2962,2,2,7524.0,0,0,3816.0,900,1,DE000LS63Y68,2020-12-03
2964,14,3,18258.3,0,0,3680.3,60,1,DE0006602006,2020-12-03
2965,55,4,19529.875,0,0,5029.64,184,1,LU1838002480,2020-12-03
2967,4139,263,2854778.44,0,0,4520.7,15,1,DE0007164600,2020-12-03
2969,1,1,1160.0,0,0,1160.0,2000,1,DE000LS8KJ86,2020-12-03
2974,2,2,1620.0,0,0,1032.0,2400,1,DE000LS8J5R9,2020-12-03
2975,2,2,1455.25,0,0,924.0,1200,1,DE000LS8K0E5,2020-12-03
2976,1,1,20.64,0,0,20.64,86,1,DE000LS6ZA15,2020-12-03
2978,34,4,6604.04,0,0,403.1,20,1,HK0285041858,2020-12-03
2979,1,1,5184.0,0,0,5184.0,10800,1,DE000LS8E7D0,2020-12-03
2980,5,2,3608.8,0,0,2527.2,900,1,GB0006215205,2020-12-03
2981,8,1,334.6,0,0,334.6,563,1,DE0005932735,2020-12-03
2983,3,1,10096.0,0,0,10096.0,400,1,GB0004052071,2020-12-03
2984,320,9,20311.95,0,0,640.0,1,1,US44852D1081,2020-12-03
2985,5,1,1284.0,0,0,1284.0,15000,1,CA05337L1067,2020-12-03
2986,22,3,4841.12,0,0,465.6,54,1,DE0005209589,2020-12-03
2987,2,1,1132.5,0,0,1132.5,15,1,US66987V1098,2020-12-03
2988,11000,825,4648746.829,0,0,2517.0,400,1,DE000TUAG000,2020-12-03
2989,1,1,434.0,0,0,434.0,200,1,DE000LS64JQ7,2020-12-03
2990,68,2,3490.75,0,0,2344.75,0,1,US8807701029,2020-12-03
2991,100,2,710.95,0,0,567.2,7,1,DK0060094928,2020-12-03
2993,473,80,1294688.38,0,0,9427.0,40,1,NL0000235190,2020-12-03
2994,1,1,320.0,0,0,320.0,1000,1,DE000LS7NQ51,2020-12-03
2996,2,1,960.83,0,0,960.83,68,1,LU1681041460,2020-12-03
2998,8,2,630.2,0,0,486.2,90,1,CA6665111002,2020-12-03
2999,5,1,1160.0,0,0,1160.0,20,1,US89677Q1076,2020-12-03
3001,5,3,2623.3,0,0,1041.18,777,1,DE000LS8C9K3,2020-12-03
3002,165,7,16101.7,0,0,2080.0,229,1,DE000A2YN702,2020-12-03
3004,242,24,113463.0,0,0,4080.0,1,1,US98980L1017,2020-12-03
3005,2,1,456.9,0,0,456.9,30,1,GB0007908733,2020-12-03
3006,2,2,1367.0,0,0,832.0,400,1,DE000LS8L3F5,2020-12-03
3010,15,2,11840.0,0,0,7880.0,1,1,DE000LS8JG33,2020-12-03
3012,52,2,2071.948,0,0,1631.2,0,1,ES0173516115,2020-12-03
3013,9,4,16081.68,0,0,4413.0,25,1,US2566771059,2020-12-03
3015,3,1,66601.92,0,0,66601.92,200,1,IE00B9M6SJ31,2020-12-03
3016,118,7,8924.8,0,0,1050.0,50,1,US22041X1028,2020-12-03
3017,24,3,8607.2,0,0,3690.0,555,1,US4831191030,2020-12-03
3019,3,1,1562.52,0,0,1562.52,58,1,IE00B2QWDR12,2020-12-03
3020,1,1,5256.351,0,0,5256.351,603,1,US3825501014,2020-12-03
3022,106,1,1170.0,0,0,1170.0,0,1,DE0007857476,2020-12-03
3024,17,2,38280.3,0,0,34284.0,30,1,US1266501006,2020-12-03
3027,8,1,98100.0,0,0,98100.0,1800,1,CH0360674466,2020-12-03
3029,10,6,15410.0,0,0,814.0,1300,1,DE000LS8M6F7,2020-12-03
3031,1,1,1260.0,0,0,1260.0,3000,1,DE000LS8F1Q4,2020-12-03
3032,2,1,142.6,0,0,142.6,40,1,CA9237251058,2020-12-03
3033,6,2,6290.0,0,0,4900.0,1,1,JP3802300008,2020-12-03
3034,315,8,32890.48,0,0,4301.5,500,1,DE000SHA0159,2020-12-03
3035,6,1,1539.0,0,0,1539.0,45,1,IE00BYMS5W68,2020-12-03
3039,1,1,3060.0,0,0,3060.0,2000,1,DE000LS8GW85,2020-12-03
3043,45,4,17955.95,0,0,1689.6,6,1,US4523271090,2020-12-03
3046,5,2,1001.0,0,0,546.0,600,1,DE000LS65VG0,2020-12-03
3048,47,5,10824.5,0,0,1604.8,30,1,SE0013647385,2020-12-03
3050,23,1,3000.0,0,0,3000.0,7500,1,DE000LS8M6G5,2020-12-03
3052,999,121,1515410.6,0,0,3943.2,15,1,US0970231058,2020-12-03
3053,16,1,109.02,0,0,109.02,125,1,BE0974320526,2020-12-03
3054,10,2,17056.0,0,0,16400.0,15,1,US74838J1016,2020-12-03
3055,32,1,13737.0,0,0,13737.0,150,1,US7802871084,2020-12-03
3059,9,2,7627.82,0,0,5966.07,35,1,IT0000072618,2020-12-03
3061,1,1,693.0,0,0,693.0,350,1,DE000LS71LA2,2020-12-03
3064,12,5,11809.6,0,0,2184.0,100,1,DE0005201602,2020-12-03
3065,13,2,1837.5,0,0,975.0,600,1,DE000LS8GW93,2020-12-03
3066,5,2,52862.4,0,0,27801.0,1500,1,LU2009202107,2020-12-03
3070,276,14,60815.86,0,0,2309.28,35,1,DE000A14KEB5,2020-12-03
3071,3,1,917.0,0,0,917.0,35,1,US5679081084,2020-12-03
3074,23,5,13094.25,0,0,1780.0,1000,1,DE000LS8KJ37,2020-12-03
3075,2,1,90.0,0,0,90.0,300,1,DE000LS7L9L1,2020-12-03
3076,854,78,873277.262,0,0,1752.96,20,1,IE00B1XNHC34,2020-12-03
3077,74,5,7508.95,0,0,1161.0,220,1,DE0006204589,2020-12-03
3078,1,1,325.5,0,0,325.5,175,1,DE000LS7K6V7,2020-12-03
3080,1,1,21.3,0,0,21.3,3,1,US87656Y4061,2020-12-03
3085,15,3,4635.45,0,0,1056.3,200,1,AU000000S320,2020-12-03
3086,27,5,34526.2,0,0,5136.0,4,1,US09857L1089,2020-12-03
3088,2,1,718.6,0,0,718.6,1,1,DE000LS9QEJ4,2020-12-03
3089,19,2,6430.0,0,0,4150.0,1,1,DE000LS8HA80,2020-12-03
3090,6,3,1666.6,0,0,476.2,50,1,LU0838780707,2020-12-03
3091,2,1,1027.8,0,0,1027.8,15,1,NL0000395903,2020-12-03
3092,172,6,23764.5,0,0,2871.0,0,1,DE0005104400,2020-12-03
3093,10,2,3340.0,0,0,1700.0,1000,1,DE000LS8N9W5,2020-12-03
3095,41,11,42905.7,0,0,3139.9,4,1,DE000LS9NE38,2020-12-03
3096,296,9,248922.5,0,0,5840.0,40,1,DE0005439004,2020-12-03
3097,11,2,19345.0,0,0,17868.0,500,1,IE00BJ5JP105,2020-12-03
3098,13,1,1738.8,0,0,1738.8,100,1,LU0328475792,2020-12-03
3099,7,3,2924.1,0,0,522.5,400,1,DE000LS8C1G8,2020-12-03
3101,19,1,591.696,0,0,591.696,75,1,US10316T1043,2020-12-03
3102,4,1,535.0,0,0,535.0,500,1,DE000LS8QL29,2020-12-03
3104,14,1,12494.43,0,0,12494.43,150,1,AT0000A21KS2,2020-12-03
3106,145,3,2829.88,0,0,796.08,0,1,US69343R1014,2020-12-03
3108,1,1,10969.632,0,0,10969.632,5904,1,US0556301077,2020-12-03
3112,8,2,14410.0,0,0,7290.0,1000,1,DE000LS60XC6,2020-12-03
3115,21,4,7545.8,0,0,1515.2,1,1,US02079K1079,2020-12-03
3116,5,3,1705.0,0,0,420.0,3000,1,DE000LS8M764,2020-12-03
3118,14,4,5411.962,0,0,995.486,35,1,CH0475986318,2020-12-03
3119,41,10,18237.48,0,0,1930.0,9,1,US02156B1035,2020-12-03
3121,12,1,0.348,0,0,0.348,5000,1,CA64129Y1079,2020-12-03
3122,1,1,93.0,0,0,93.0,300,1,DE000LS8LE49,2020-12-03
3124,302,24,159639.1,0,0,3435.0,1,1,DE0006450000,2020-12-03
3125,4,1,2378.2,0,0,2378.2,20,1,DE000LS9KCX2,2020-12-03
3128,17,3,1636.46,0,0,525.32,80,1,DE000A0V9Y57,2020-12-03
3131,1,1,1196.7,0,0,1196.7,5,1,LU0484969463,2020-12-03
3132,4,2,145.753,0,0,125.253,9278,1,CA70260R1082,2020-12-03
3133,2,1,14583.0,0,0,14583.0,800,1,IE00B5M4WH52,2020-12-03
3134,4,1,2496.0,0,0,2496.0,160,1,US8794338298,2020-12-03
3135,128,1,1503.0,0,0,1503.0,0,1,HK0883013259,2020-12-03
3136,82,2,3734.86,0,0,1972.0,22,1,US98419M1009,2020-12-03
3138,1,1,19400.0,0,0,19400.0,4000,1,DE000LS8CK83,2020-12-03
3139,11,2,2705.2,0,0,2314.8,12,1,US8636671013,2020-12-03
3140,1,1,10140.0,0,0,10140.0,120,1,US01671P1003,2020-12-03
3141,34,4,9220.0,0,0,3180.0,1,1,DE000LS792A8,2020-12-03
3142,236,14,74471.2,0,0,4955.4,1,1,FR0000120578,2020-12-03
3143,9,3,18638.75,0,0,3405.0,1500,1,DE000LS8L402,2020-12-03
3147,6,1,3390.0,0,0,3390.0,922,1,DE0006942808,2020-12-03
3148,77,2,5207.24,0,0,3748.315,0,1,DE000A0H0744,2020-12-03
3149,1,1,876.44,0,0,876.44,4,1,DE000LS9JR54,2020-12-03
3150,152,7,25346.166,0,0,3871.35,1,1,US3696041033,2020-12-03
3151,7,1,149.48,0,0,149.48,1,1,DE000LS9NUP4,2020-12-03
3156,3,1,1183.0,0,0,1183.0,1,1,US9029521005,2020-12-03
3160,563,66,232334.8,0,0,2364.0,20,1,DE000A0XYHT5,2020-12-03
3164,564,8,126674.96,0,0,14569.82,1,1,LU0411075376,2020-12-03
3169,158,27,107333.16,0,0,1754.2,17,1,DE000LS9PBC7,2020-12-03
3171,277,17,111119.72,0,0,1644.0,108,1,CA60765L1022,2020-12-03
3172,294,52,297775.13,0,0,2693.8,5,1,DE000LS9FEG3,2020-12-03
3173,107,2,2994.4,0,0,2144.0,0,1,CH0024638212,2020-12-03
3175,14,6,18667.45,0,0,2674.2,10,1,DE000LS9PJS6,2020-12-03
3177,1,1,5558.0,0,0,5558.0,140,1,DE0005297204,2020-12-03
3180,48,8,32648.87,0,0,4088.88,1,1,BE0974293251,2020-12-03
3181,46,5,7564.435,0,0,1245.125,14,1,US3703341046,2020-12-03
3182,24,1,16092.0,0,0,16092.0,2000,1,CA28617B1013,2020-12-03
3183,9,1,4131.0,0,0,4131.0,2500,1,DE000A161NR7,2020-12-03
