,ISIN,Ordereinstellungen_Anzahl,Geschaefte_Anzahl,Geschaefte_Kurswert,Orderloeschungen_Anzahl,Orderaenderungen_Anzahl,Kurswert_Median,Ordereinstellungen_WertMedian,MarketMaker_Anzahl,date
0,ISIN,Ordereinstellungen_Anzahl,Geschaefte_Anzahl,Geschaefte_Kurswert,Orderloeschungen_Anzahl,Orderaenderungen_Anzahl,Kurswert_Median,Ordereinstellungen_WertMedian,MarketMaker_Anzahl,2022-01-03
1,ANN4327C1220,14,6,20337.20,8,0,1706.00,,1,2022-01-03
2,AT000000STR1,3,0,0,1,0,,,1,2022-01-03
3,AT0000606306,2,1,3855.00,0,0,,,1,2022-01-03
4,AT0000634712,1,1,459.73,0,0,,,1,2022-01-03
5,AT0000641352,5,4,5319.25,1,0,582.63,,1,2022-01-03
6,AT0000644505,6,4,6226.40,1,0,1274.70,,1,2022-01-03
7,AT0000646799,1,1,1840.82,0,0,,,1,2022-01-03
8,AT0000652011,3,2,3009.36,1,0,1504.68,,1,2022-01-03
9,AT0000675657,1,1,12182.90,0,0,,,1,2022-01-03
10,AT0000677901,1,1,1013.83,0,0,,,1,2022-01-03
11,AT0000677927,1,1,243.72,0,0,,,1,2022-01-03
12,AT0000701156,1,1,612.67,0,0,,,1,2022-01-03
13,AT0000705660,3,3,21847.06,0,0,1498.62,,1,2022-01-03
14,AT0000720008,4,2,1262.92,1,0,631.46,,1,2022-01-03
15,AT0000743059,11,8,12997.20,3,1,1162.25,,1,2022-01-03
16,AT0000746409,33,21,27543.25,10,0,972.50,,1,2022-01-03
17,AT0000746755,1,1,36829.20,0,0,,,1,2022-01-03
18,AT0000758305,2,2,2502.00,1,0,1251.00,,1,2022-01-03
19,AT0000785555,2,0,0,1,0,,,1,2022-01-03
20,AT0000799846,1,0,0,0,0,,,1,2022-01-03
21,AT0000799861,1,0,0,0,0,,,1,2022-01-03
22,AT0000814991,1,1,3014.23,0,0,,,1,2022-01-03
23,AT0000820147,1,1,4883.58,0,0,,,1,2022-01-03
24,AT0000822747,1,1,589.74,0,0,,,1,2022-01-03
25,AT0000837307,3,1,6381.12,2,0,,,1,2022-01-03
26,AT0000857164,12,11,29014.80,0,0,1623.50,,1,2022-01-03
27,AT0000859517,2,2,633.63,0,0,316.81,,1,2022-01-03
28,AT0000908504,3,3,3108.00,0,0,994.00,,1,2022-01-03
29,AT0000937503,2,0,0,2,0,,,1,2022-01-03
30,AT0000938204,14,3,4014.00,6,0,352.80,,1,2022-01-03
31,AT0000946652,1,1,2430.00,0,0,,,1,2022-01-03
32,AT0000989090,1,0,0,1,0,,,1,2022-01-03
33,AT0000A00XX9,8,6,5051.05,2,0,595.24,,1,2022-01-03
34,AT000KAPSCH9,2,1,1402.00,0,0,,,1,2022-01-03
35,AU000000AWC3,3,1,4.61,1,0,,,1,2022-01-03
36,AU000000AXE7,1,0,0,1,0,,,1,2022-01-03
37,AU000000AZJ1,2,0,0,0,0,,,1,2022-01-03
38,AU000000CBA7,2,1,262.20,0,0,,,1,2022-01-03
39,AU000000CSL8,18,1,6560.40,7,0,,,1,2022-01-03
40,AU000000CUV3,4,2,267.00,2,0,133.50,,1,2022-01-03
41,AU000000DLC0,3,1,4.54,2,0,,,1,2022-01-03
42,AU000000EVN4,3,0,0,3,0,,,1,2022-01-03
43,AU000000FMG4,22,11,12100.00,5,2,631.30,,1,2022-01-03
44,AU000000FML4,2,0,0,2,0,,,1,2022-01-03
45,AU000000GGG4,4,2,658.39,2,0,329.19,,1,2022-01-03
46,AU000000GRR8,1,1,347.20,0,0,,,1,2022-01-03
47,AU000000ILU1,1,1,358.71,0,0,,,1,2022-01-03
48,AU000000MGR9,1,0,0,0,0,,,1,2022-01-03
49,AU000000NCM7,2,2,3931.31,0,0,1965.66,,1,2022-01-03
50,AU000000ORG5,1,1,101.40,0,0,,,1,2022-01-03
51,AU000000PDN8,19,6,1901.85,9,0,66.98,,1,2022-01-03
52,AU000000PRU3,2,1,3004.50,1,0,,,1,2022-01-03
53,AU000000RIO1,43,25,48143.33,14,0,515.20,,1,2022-01-03
54,AU000000SHL7,2,1,211.16,0,0,,,1,2022-01-03
55,AU000000STO6,3,3,705.97,0,0,252.30,,1,2022-01-03
56,AU000000WPL2,3,1,695.70,2,0,,,1,2022-01-03
57,BE0003470755,2,1,313.20,1,0,,,1,2022-01-03
58,BE0003565737,3,0,0,3,0,,,1,2022-01-03
59,BE0003593044,1,0,0,1,0,,,1,2022-01-03
60,BE0003739530,1,2,12012.00,0,0,6006.00,,1,2022-01-03
61,BE0003755692,4,2,3826.70,2,0,1913.35,,1,2022-01-03
62,BE0003810273,3,0,0,2,0,,,1,2022-01-03
63,BE0003822393,3,3,4324.40,0,0,937.60,,1,2022-01-03
64,BE0003826436,7,1,2003.84,5,0,,,1,2022-01-03
65,BE0940703946,1,0,0,0,0,,,1,2022-01-03
66,BE0974256852,4,2,5618.00,2,0,2809.00,,1,2022-01-03
67,BE0974264930,6,2,5054.80,4,0,2527.40,,1,2022-01-03
68,BMG210821051,6,2,514.40,4,0,257.20,,1,2022-01-03
69,BMG211591018,1,1,0.10,0,0,,,1,2022-01-03
70,BMG2442N1048,2,0,0,2,0,,,1,2022-01-03
71,BMG3122U1457,1,1,99.99,0,0,,,1,2022-01-03
72,BMG507361001,1,1,49.30,0,0,,,1,2022-01-03
73,BMG653181005,4,1,269.50,1,0,,,1,2022-01-03
74,BMG709641044,1,1,0.07,0,0,,,1,2022-01-03
75,BMG9456A1009,3,2,849.60,1,0,424.80,,1,2022-01-03
76,BRCMIGACNPR3,1,0,0,0,0,,,1,2022-01-03
77,BRPETRACNPR6,23,7,13849.94,5,0,798.61,,1,2022-01-03
78,CA0019401052,1,1,280.00,0,0,,,1,2022-01-03
79,CA00208D4084,1,0,0,1,0,,,1,2022-01-03
80,CA00829Q1019,1,0,0,1,0,,,1,2022-01-03
81,CA0209361009,1,1,97.28,0,0,,,1,2022-01-03
82,CA0539061030,8,4,3005.50,4,0,747.46,,1,2022-01-03
83,CA05534B7604,2,2,1139.39,0,0,569.70,,1,2022-01-03
84,CA0585861085,173,92,195704.95,56,0,563.88,,1,2022-01-03
85,CA0636711016,1,1,192.84,0,0,,,1,2022-01-03
86,CA0679011084,135,62,95883.35,57,0,559.99,,1,2022-01-03
87,US88076W1036,1,1,481.00,0,0,,,1,2022-01-03
88,US89151E1091,2,0,0,1,0,,,1,2022-01-03
89,US9001112047,67,3,3019.18,58,0,521.60,,1,2022-01-03
90,US9024941034,3,2,766.00,0,0,383.00,,1,2022-01-03
91,US90384S3031,3,2,4001.20,1,0,2000.60,,1,2022-01-03
92,US9113631090,9,4,7988.70,5,0,2084.60,,1,2022-01-03
93,US9170471026,1,1,3168.00,0,0,,,1,2022-01-03
94,US9182041080,5,3,6420.38,2,0,1286.80,,1,2022-01-03
95,US9224171002,1,1,528.00,0,0,,,1,2022-01-03
96,US92343X1000,1,1,745.60,0,0,,,1,2022-01-03
97,US94419L1017,2,1,2022.60,1,0,,,1,2022-01-03
98,US9485961018,2,3,5287.00,0,0,1360.00,,1,2022-01-03
99,US95082P1057,1,1,119.00,0,0,,,1,2022-01-03
100,US9699041011,4,4,3642.00,0,0,530.00,,1,2022-01-03
101,US98138H1014,9,9,27870.25,1,0,2126.70,,1,2022-01-03
102,US98389B1008,7,4,6755.52,3,0,1402.10,,1,2022-01-03
103,US9858171054,1,1,4860.32,0,0,,,1,2022-01-03
104,US98936J1016,1,1,1296.96,0,0,,,1,2022-01-03
105,US98978V1035,68,36,74057.30,30,0,833.40,,1,2022-01-03
106,XS0162990229,1,1,2996.00,0,0,,,1,2022-01-03
107,FR0000120644,87,43,48315.65,39,0,605.33,,1,2022-01-03
108,FR0000120669,4,0,0,4,0,,,1,2022-01-03
109,FR0000120693,12,8,10710.70,4,0,737.95,,1,2022-01-03
110,FR0000121014,184,105,237472.30,65,0,737.30,,1,2022-01-03
111,FR0000121121,1,0,0,1,0,,,1,2022-01-03
112,FR0000121147,203,3,7084.56,192,0,858.40,,1,2022-01-03
113,FR0000121220,1,0,0,0,0,,,1,2022-01-03
114,FR0000121261,2,2,1923.25,0,0,961.63,,1,2022-01-03
115,FR0000121485,36,22,50368.70,8,0,1064.30,,1,2022-01-03
116,FR0000121667,8,8,19942.18,0,0,1404.63,,1,2022-01-03
117,FR0000121972,33,17,67422.86,11,0,1223.60,,1,2022-01-03
118,FR0000125007,7,7,5497.12,1,0,549.00,,1,2022-01-03
119,FR0000125486,13,7,5972.59,4,0,557.70,,1,2022-01-03
120,FR0000127771,5,3,9348.31,2,0,1848.77,,1,2022-01-03
121,FR0000130395,3,2,6955.20,1,0,3477.60,,1,2022-01-03
122,FR0000130403,4,2,2921.50,2,0,1460.75,,1,2022-01-03
123,FR0000130809,17,10,58909.86,7,0,1403.47,,1,2022-01-03
124,FR0000131104,49,14,30051.78,30,1,1226.40,,1,2022-01-03
125,FR0000131757,3,2,7485.00,0,0,3742.50,,1,2022-01-03
126,FR0000133308,36,9,6382.04,22,0,567.72,,1,2022-01-03
127,FR0000182479,12,0,0,11,0,,,1,2022-01-03
128,FR0000284689,6,4,73642.77,1,0,5933.48,,1,2022-01-03
129,FR0000292278,1,0,0,0,0,,,1,2022-01-03
130,FR0007054358,7,5,53384.71,2,0,2627.88,,1,2022-01-03
131,FR0007056841,3,3,16761.40,0,0,2582.80,,1,2022-01-03
132,FR0010112524,3,3,2190.00,2,0,991.20,,1,2022-01-03
133,FR0010148981,9,9,70432.96,0,0,3629.23,,1,2022-01-03
134,FR0010149179,1,0,0,0,0,,,1,2022-01-03
135,FR0010208488,21,8,12350.04,10,0,1157.42,,1,2022-01-03
136,FR0010220475,29,14,12729.71,8,0,414.33,,1,2022-01-03
137,FR0010241638,1,0,0,1,0,,,1,2022-01-03
138,FR0010242511,223,127,129325.99,59,0,321.45,,1,2022-01-03
139,FR0010261198,3,3,6370.56,0,0,1959.36,,1,2022-01-03
140,FR0010296061,2,2,4124.04,0,0,2062.02,,1,2022-01-03
141,FR0010313833,5,4,27534.55,2,0,1129.15,,1,2022-01-03
142,FR0010315770,88,53,324330.78,28,0,1414.65,,1,2022-01-03
143,FR0010361683,21,17,24403.63,3,0,605.25,,1,2022-01-03
144,FR0010429068,18,15,20892.59,1,0,378.90,,1,2022-01-03
145,FR0010533075,2,2,3940.62,0,0,1970.31,,1,2022-01-03
146,FR0010613471,15,6,7143.09,9,0,1278.54,,1,2022-01-03
147,FR0010655712,44,19,142581.45,25,0,2313.60,,1,2022-01-03
148,FR0010655746,1,1,381.68,0,0,,,1,2022-01-03
149,FR0010655761,2,2,892.60,0,0,446.30,,1,2022-01-03
150,FR0010688192,3,3,3914.20,0,0,1064.70,,1,2022-01-03
151,FR0010717090,6,5,7913.60,1,0,1392.80,,1,2022-01-03
152,FR0010754135,2,2,1336.24,0,0,668.12,,1,2022-01-03
153,FR0010754143,11,2,1250.68,9,0,625.34,,1,2022-01-03
154,FR0010755611,70,35,697344.00,31,1,4760.50,,1,2022-01-03
155,FR0010756114,17,9,26158.75,7,0,1383.60,,1,2022-01-03
156,FR0010869495,23,22,29246.73,1,0,633.74,,1,2022-01-03
157,FR0010869578,14,3,1151.55,11,0,521.17,,1,2022-01-03
158,FR0010908533,2,2,4264.44,0,0,2132.22,,1,2022-01-03
159,FR0011269588,1,1,485.40,0,0,,,1,2022-01-03
160,FR0011550185,14,11,24796.21,2,0,1343.89,,1,2022-01-03
161,GB0000456144,1,1,15.78,0,0,,,1,2022-01-03
162,GB0001367019,1,1,548.10,0,0,,,1,2022-01-03
163,GB0002162385,4,0,0,3,0,,,1,2022-01-03
164,GB0002374006,68,25,23532.14,23,0,951.90,,1,2022-01-03
165,GB0002875804,141,72,139707.00,51,0,645.92,,1,2022-01-03
166,GB0004082847,1,0,0,1,0,,,1,2022-01-03
167,GB0004544929,53,22,51716.98,26,0,754.45,,1,2022-01-03
168,GB0005405286,22,7,7658.75,12,0,256.15,,1,2022-01-03
169,GB0007099541,2,2,8354.50,0,0,4177.25,,1,2022-01-03
170,GB0007188757,202,101,180682.10,60,0,718.80,,1,2022-01-03
171,GB0007980591,165,113,417327.52,46,0,1488.00,,1,2022-01-03
172,GB0008706128,14,3,2509.24,8,0,560.90,,1,2022-01-03
173,GB0008754136,1,0,0,0,0,,,1,2022-01-03
174,GB0009252882,65,32,46688.90,25,0,609.78,,1,2022-01-03
175,GB0009895292,26,16,12425.38,6,0,615.48,,1,2022-01-03
176,GB0030183890,1,0,0,0,0,,,1,2022-01-03
177,GB0030913577,4,1,494.05,1,0,,,1,2022-01-03
178,GB0030932676,26,19,82332.46,0,1,2233.29,,1,2022-01-03
179,GB0031215220,77,34,51567.88,29,0,745.90,,1,2022-01-03
180,GB0031348658,15,8,6718.00,5,0,178.68,,1,2022-01-03
181,GB0031743007,4,1,577.80,2,0,,,1,2022-01-03
182,GB0033986497,2,1,499.80,1,0,,,1,2022-01-03
183,GB00B0130H42,62,39,79078.16,13,0,476.00,,1,2022-01-03
184,GB00B019KW72,6,1,11431.00,2,0,,,1,2022-01-03
185,GB00B02J6398,4,0,0,0,0,,,1,2022-01-03
186,GB00B033F229,3,0,0,2,0,,,1,2022-01-03
187,GB00B03MM408,47,31,63606.70,9,0,1124.04,,1,2022-01-03
188,GB00B0TY6S22,1,0,0,0,0,,,1,2022-01-03
189,GB00B0WMWD03,3,0,0,1,0,,,1,2022-01-03
190,GB00B10RZP78,209,120,200411.48,58,0,518.62,,1,2022-01-03
191,GB00B19NLV48,2,1,44.14,0,0,,,1,2022-01-03
192,GB00B1XZS820,11,4,2172.60,4,0,530.70,,1,2022-01-03
193,GB00B24CGK77,31,4,9063.00,18,0,1507.25,,1,2022-01-03
194,GB00B2PDRY03,1,1,4440.99,0,0,,,1,2022-01-03
195,GB00B2QPKJ12,12,11,20439.03,1,0,856.00,,1,2022-01-03
196,GB00B39J2M42,2,2,716.00,0,0,358.00,,1,2022-01-03
197,GB00B63QSB39,2,1,1070.55,1,0,,,1,2022-01-03
198,GB00B71N6K86,6,2,1733.24,2,0,866.62,,1,2022-01-03
199,GB00B7KR2P84,46,21,42358.15,15,0,700.00,,1,2022-01-03
200,GB00B7T77214,9,2,1273.14,6,0,636.57,,1,2022-01-03
201,GB00B8C3BL03,1,1,384.06,0,0,,,1,2022-01-03
202,GB00BH4HKS39,141,57,71774.17,72,0,310.07,,1,2022-01-03
203,GRS260333000,4,1,16.20,1,0,,,1,2022-01-03
204,GRS298343005,1,1,3125.00,0,0,,,1,2022-01-03
205,GRS496003005,4,1,506.90,0,0,,,1,2022-01-03
206,HK0000049939,1,0,0,1,0,,,1,2022-01-03
207,HK0000069689,1,1,718.00,0,0,,,1,2022-01-03
208,HK0006000050,6,0,0,6,0,,,1,2022-01-03
209,HK0011000095,1,0,0,0,0,,,1,2022-01-03
210,HK0019000162,1,0,0,0,0,,,1,2022-01-03
211,HK0031044180,1,0,0,1,0,,,1,2022-01-03
212,HK0066009694,1,1,948.00,0,0,,,1,2022-01-03
213,HK0267001375,3,0,0,2,0,,,1,2022-01-03
214,HK0285041858,5,4,780.05,0,0,148.06,,1,2022-01-03
215,HK0293001514,1,1,74.45,0,0,,,1,2022-01-03
216,HK0669013440,2,0,0,0,0,,,1,2022-01-03
217,HK0883013259,4,0,0,3,0,,,1,2022-01-03
218,HK0992009065,30,14,3087.82,7,0,34.51,,1,2022-01-03
219,HK1093012172,7,1,332.47,6,0,,,1,2022-01-03
220,HK3808041546,1,0,0,1,0,,,1,2022-01-03
221,HU0000061726,1,1,512.05,0,0,,,1,2022-01-03
222,ID1000057003,4,0,0,3,0,,,1,2022-01-03
223,ID1000068604,2,1,920.00,0,0,,,1,2022-01-03
224,ID1000068703,4,3,509.90,1,0,9.50,,1,2022-01-03
225,ID1000086002,1,1,0.21,0,0,,,1,2022-01-03
226,ID1000094006,1,0,0,1,0,,,1,2022-01-03
227,ID1000095706,1,1,369.07,0,0,,,1,2022-01-03
228,ID1000106602,3,0,0,3,0,,,1,2022-01-03
229,ID1000108509,1,0,0,0,0,,,1,2022-01-03
230,ID1000109507,1,1,349.81,0,0,,,1,2022-01-03
231,ID1000113202,1,1,1.50,0,0,,,1,2022-01-03
232,ID1000116601,3,3,236.88,0,0,79.38,,1,2022-01-03
233,IE0000830129,1,0,0,0,0,,,1,2022-01-03
234,IE0000830236,1,1,2943.59,0,0,,,1,2022-01-03
235,IE0001827041,3,1,429.75,1,0,,,1,2022-01-03
236,IE0004766014,10,7,10320.97,0,0,1337.60,,1,2022-01-03
237,IE0004766675,6,4,10380.13,0,0,2472.09,,1,2022-01-03
238,IE0004851022,1,1,1014.68,0,0,,,1,2022-01-03
239,IE0004852103,1,1,9391.38,0,0,,,1,2022-01-03
240,IE0004866889,4,3,23018.29,0,0,7252.78,,1,2022-01-03
241,IE0004868828,1,1,3696.53,0,0,,,1,2022-01-03
242,IE0005022946,1,0,0,0,1,,,1,2022-01-03
243,IE0008365516,2,2,2842.88,0,0,1421.44,,1,2022-01-03
244,IE0008470928,3,3,10369.27,0,0,274.61,,1,2022-01-03
245,IE0008471009,11,9,33119.12,1,0,2209.00,,1,2022-01-03
246,IE0030351732,4,2,9223.86,2,0,4611.93,,1,2022-01-03
247,IE0032077012,84,70,521996.95,12,0,887.78,,1,2022-01-03
248,IE0032158457,1,1,3218.22,0,0,,,1,2022-01-03
249,IE00B03DF997,2,1,10856.20,1,0,,,1,2022-01-03
250,IE00B0XJXQ01,4,2,2462.50,0,0,1231.25,,1,2022-01-03
251,IE00B240WN62,1,1,3225.50,0,0,,,1,2022-01-03
252,IE00B3BPCH51,1,1,1990.40,0,0,,,1,2022-01-03
253,IE00B3LK4Z20,1,1,740.55,0,0,,,1,2022-01-03
254,IE00B3S5XW04,1,1,796.51,0,0,,,1,2022-01-03
255,IE00B3T9LM79,1,1,355.72,0,0,,,1,2022-01-03
256,IE00B3VTMJ91,1,0,0,0,0,,,1,2022-01-03
257,IE00B3VTML14,3,3,9601.69,0,0,1236.83,,1,2022-01-03
258,IE00B3VTN290,3,3,3420.80,0,0,1026.45,,1,2022-01-03
259,IE00B3VWLG82,1,1,1230.20,0,0,,,1,2022-01-03
260,IE00B3VWM098,17,11,88119.90,5,0,1807.00,,1,2022-01-03
261,IE00B3Y8D011,2,2,1858.56,0,0,929.28,,1,2022-01-03
262,IE00B3Z66S39,1,1,645.92,0,0,,,1,2022-01-03
263,IE00B41RYL63,10,9,16305.18,1,0,950.97,,1,2022-01-03
264,IE00B44Z5B48,45,29,246396.10,15,0,2489.20,,1,2022-01-03
265,IE00B4613386,2,1,171.17,0,0,,,1,2022-01-03
266,IE00B466KX20,5,4,50830.10,1,0,11273.97,,1,2022-01-03
267,IE00B469F816,6,5,10043.99,1,0,418.61,,1,2022-01-03
268,IE00B48X4842,24,21,95517.43,1,0,682.99,,1,2022-01-03
269,IE00B4BNMY34,61,37,73953.70,20,0,735.20,,1,2022-01-03
270,IE00B4YBJ215,6,6,4786.74,0,0,636.97,,1,2022-01-03
271,IE00B4ZJ4188,6,3,15422.34,0,0,3098.80,,1,2022-01-03
272,IE00B52MJD48,9,6,17502.00,3,0,2138.75,,1,2022-01-03
273,IE00B52MJY50,27,23,63033.04,3,0,617.12,,1,2022-01-03
274,IE00B52SF786,3,3,3245.76,0,0,1297.92,,1,2022-01-03
275,IE00B52SFT06,8,3,20597.71,4,0,9675.41,,1,2022-01-03
276,IE00B53H0131,31,15,33091.62,14,0,1544.40,,1,2022-01-03
277,IE00B53HP851,18,5,66790.88,8,0,4340.00,,1,2022-01-03
278,IE00B53L4350,25,18,124665.80,6,0,3691.50,,1,2022-01-03
279,IE00B53L4X51,4,3,10518.70,0,0,4906.00,,1,2022-01-03
280,IE00B53QDK08,2,2,6080.85,0,0,3040.42,,1,2022-01-03
281,IE00B53QG562,6,5,21396.54,1,0,768.10,,1,2022-01-03
282,IE00B53SZB19,193,120,1076403.60,60,1,1645.30,,1,2022-01-03
283,IE00B5B5TG76,2,2,851.58,0,0,425.79,,1,2022-01-03
284,AU000000AVL6,1,0,0,0,0,,,1,2022-01-03
285,AU000000BMN9,1,1,517.00,0,0,,,1,2022-01-03
286,AU000000FGR3,28,17,3944.60,11,0,61.88,,1,2022-01-03
287,AU000000LIT3,8,8,7673.38,3,0,483.24,,1,2022-01-03
288,CA4436281022,2,1,644.20,1,0,,,1,2022-01-03
289,CNE100002QY7,7,4,1019.45,1,0,235.15,,1,2022-01-03
290,JP3311530004,1,1,142.48,0,0,,,1,2022-01-03
291,CA1421731037,2,1,287.00,1,0,,,1,2022-01-03
292,LU1681048630,41,24,57942.90,9,0,793.63,,1,2022-01-03
293,IE00BZ043R46,1,1,131.30,0,0,,,1,2022-01-03
294,LU1681039480,3,2,1338.35,1,0,669.17,,1,2022-01-03
295,LU1681041973,1,2,80084.40,0,0,40042.20,,1,2022-01-03
296,LU1681045883,2,2,2676.10,0,0,1338.05,,1,2022-01-03
297,LU1681046006,3,3,40709.70,0,0,9786.50,,1,2022-01-03
298,LU1681048127,8,6,4753.15,1,0,594.52,,1,2022-01-03
299,FR0007075494,7,6,3142.96,0,0,535.49,,1,2022-01-03
300,US912828V723,1,1,106209.34,0,0,,,1,2022-01-03
301,US0321086078,1,1,2146.20,0,0,,,1,2022-01-03
302,US912810RX81,1,1,13328.80,0,0,,,1,2022-01-03
303,XS1768074319,1,0,0,0,0,,,1,2022-01-03
304,DE000HX00J39,5,1,612.00,1,0,,,1,2022-01-03
305,USL56590AA73,1,1,9665.22,0,0,,,1,2022-01-03
306,US4562371066,1,1,1487.40,0,0,,,1,2022-01-03
307,DE000A0HGQF5,17,7,5024.52,5,0,511.20,,1,2022-01-03
308,LU0602539867,8,6,15806.90,0,0,998.20,,1,2022-01-03
309,LU1602144732,1,1,480.04,0,0,,,1,2022-01-03
310,LU1681046931,6,4,999.28,0,0,277.20,,1,2022-01-03
311,LU1681047236,16,6,11031.60,10,0,810.74,,1,2022-01-03
312,DE000A2G9HU0,2,2,6106.80,0,0,3053.40,,1,2022-01-03
313,DE000A2G9G64,2,4,19950.50,0,0,5000.00,,1,2022-01-03
314,IE00B68FF474,3,1,6728.46,0,0,,,1,2022-01-03
315,LU0210532015,5,5,6429.37,0,0,353.24,,1,2022-01-03
316,LU1681046691,4,4,8360.23,0,0,2151.21,,1,2022-01-03
317,NZATME0002S8,6,4,4270.45,2,0,503.66,,1,2022-01-03
318,US09857L1089,27,14,55602.00,11,0,2157.00,,1,2022-01-03
319,US6410694060,52,42,84201.00,5,0,683.00,,1,2022-01-03
320,AU000000PLS0,22,8,6809.25,7,0,831.20,,1,2022-01-03
321,NO0010081235,661,305,384741.91,271,1,473.85,,1,2022-01-03
322,US28176E1082,21,13,12654.85,9,0,575.00,,1,2022-01-03
323,US30048L1044,2,1,36.20,0,0,,,1,2022-01-03
324,US45826J1051,8,8,17311.05,1,0,414.43,,1,2022-01-03
325,DE000A0Z23Q5,46,21,33397.00,22,1,822.00,,1,2022-01-03
326,DE000A1K03W5,3,1,956.34,1,0,,,1,2022-01-03
327,IE00BF0M2Z96,86,58,189256.56,25,0,495.06,,1,2022-01-03
328,LU1602145119,1,1,1113.60,0,0,,,1,2022-01-03
329,DE0006636681,39,24,17898.55,6,0,395.98,,1,2022-01-03
330,DE000A1EWVY8,12,7,13534.40,4,0,709.20,,1,2022-01-03
331,CA23345B2003,3,2,261.64,0,0,130.82,,1,2022-01-03
332,DE000A11QLU3,8,3,1371.15,5,0,99.18,,1,2022-01-03
333,DE000A0JELL5,1,1,184.38,0,0,,,1,2022-01-03
334,LU0115763970,1,1,132.91,0,0,,,1,2022-01-03
335,LU0200076213,1,0,0,0,0,,,1,2022-01-03
336,LU0348784041,2,1,1989.05,0,0,,,1,2022-01-03
337,LU0396098781,1,0,0,0,0,,,1,2022-01-03
338,LU0528227936,1,1,166.67,0,0,,,1,2022-01-03
339,LU0570870567,16,13,52577.85,0,0,1397.27,,1,2022-01-03
340,LU0602539602,2,1,3076.38,0,0,,,1,2022-01-03
341,LU1105406398,1,0,0,0,0,,,1,2022-01-03
342,LU1165135879,1,1,10560.45,0,0,,,1,2022-01-03
343,DE0005658009,4,0,0,3,0,,,1,2022-01-03
344,US00108J1097,17,1,628.16,16,0,,,1,2022-01-03
345,US09075P1057,1,1,101.10,0,0,,,1,2022-01-03
346,US14713L1026,2,2,2988.00,0,0,1494.00,,1,2022-01-03
347,DE000SHL1006,117,67,118193.64,34,1,657.80,,1,2022-01-03
348,XS1417876163,1,1,6270.00,0,0,,,1,2022-01-03
349,XS1796233150,1,1,10833.30,0,0,,,1,2022-01-03
350,LU1681042609,3,4,12308.85,0,0,2251.43,,1,2022-01-03
351,LU1681044480,33,26,83646.87,2,0,507.99,,1,2022-01-03
352,LU1681044720,8,8,20990.25,0,0,2402.80,,1,2022-01-03
353,LU1681044993,1,1,443.95,0,0,,,1,2022-01-03
354,LU1681045024,5,3,3167.20,0,0,575.60,,1,2022-01-03
355,LU1681048804,68,17,38637.56,46,0,1119.30,,1,2022-01-03
356,LU1681049109,3,1,240.64,1,0,,,1,2022-01-03
357,DE000DWS1007,45,25,57422.72,7,0,505.68,,1,2022-01-03
358,US26210C1045,13,5,4287.05,3,0,1079.00,,1,2022-01-03
359,GB00BD20C246,6,4,668.85,0,0,148.75,,1,2022-01-03
360,KYG8586D1097,3,0,0,3,0,,,1,2022-01-03
361,US0900401060,12,9,8944.30,1,0,446.60,,1,2022-01-03
362,DE000A19WVN8,14,8,27356.50,2,0,3895.30,,1,2022-01-03
363,LU1681039647,6,2,2272.67,4,0,1136.34,,1,2022-01-03
364,LU1681046261,1,1,1493.46,0,0,,,1,2022-01-03
365,LU1681046774,1,1,764.94,0,0,,,1,2022-01-03
366,IE00BFF5RX68,3,1,76.41,2,0,,,1,2022-01-03
367,IE00BFYTYS33,2,2,84.81,0,0,42.41,,1,2022-01-03
368,IE00BG13YH41,1,1,78.01,0,0,,,1,2022-01-03
369,IE00BG13YJ64,3,2,745.00,0,0,372.50,,1,2022-01-03
370,US11135F1012,74,36,123222.50,32,0,1773.15,,1,2022-01-03
371,DE000A2G8332,2,2,15401.68,1,0,7700.84,,1,2022-01-03
372,US37954Y8553,9,3,26381.00,6,0,11307.00,,1,2022-01-03
373,US74915M1009,1,2,659.00,0,0,329.50,,1,2022-01-03
374,US98983V1061,9,4,2478.36,2,0,428.12,,1,2022-01-03
375,CA32016U2074,2,1,322.20,0,0,,,1,2022-01-03
376,LU1681037864,3,3,37747.17,0,0,15837.00,,1,2022-01-03
377,LU1681038243,104,47,294492.76,49,1,1613.40,,1,2022-01-03
378,LU1681040223,6,4,7268.26,2,0,1286.66,,1,2022-01-03
379,LU1681042864,2,2,2694.30,0,0,1347.15,,1,2022-01-03
380,LU1681043086,3,3,5320.10,0,0,2269.20,,1,2022-01-03
381,LU1681043599,63,33,342253.92,25,0,4355.20,,1,2022-01-03
382,LU1681043755,3,2,1477.65,0,0,738.83,,1,2022-01-03
383,LU1681043912,2,2,6025.30,0,0,3012.65,,1,2022-01-03
384,LU1681045537,6,6,50795.20,0,0,8627.30,,1,2022-01-03
385,US02156K1034,4,2,2013.90,2,0,1006.95,,1,2022-01-03
386,US73181M1172,6,1,636.00,5,0,,,1,2022-01-03
387,US2561631068,107,70,86979.00,25,0,660.70,,1,2022-01-03
388,LU1548497699,5,3,10326.30,0,0,5015.63,,1,2022-01-03
389,US2254011081,13,4,24605.60,3,0,5995.00,,1,2022-01-03
390,US5004723038,39,11,118809.80,25,0,15120.00,,1,2022-01-03
391,DE000A0HNF96,1,1,16.32,0,0,,,1,2022-01-03
392,DE000A2G9MZ9,14,3,2864.30,9,0,561.60,,1,2022-01-03
