,ISIN,Ordereinstellungen_Anzahl,Geschaefte_Anzahl,Geschaefte_Kurswert,Orderloeschungen_Anzahl,Orderaenderungen_Anzahl,Kurswert_Median,Ordereinstellungen_WertMedian,MarketMaker_Anzahl,date
0,ISIN,Ordereinstellungen_Anzahl,Geschaefte_Anzahl,Geschaefte_Kurswert,Orderloeschungen_Anzahl,Orderaenderungen_Anzahl,Kurswert_Median,Ordereinstellungen_WertMedian,MarketMaker_Anzahl,2022-01-03
5896,DE000HB1QSR9,1,1,539.97,0,0,,,1,2022-01-03
5897,DE000TT9SP56,2,1,999.00,0,0,,,1,2022-01-03
5898,DE000TT9SS04,3,0,0,2,0,,,1,2022-01-03
5899,DE000TT9T3T8,1,1,1500.00,0,0,,,1,2022-01-03
5900,DE000TT9T4M1,3,2,300.00,1,0,150.00,,1,2022-01-03
5901,DE000TT9UPC8,3,1,300.00,1,0,,,1,2022-01-03
5902,CA28474P1027,5,3,1291.57,2,0,23.32,,1,2022-01-03
5903,DE000TT9VPV6,1,1,4999.05,0,0,,,1,2022-01-03
5904,DE000TT9VPY0,8,5,2927.65,3,0,505.85,,1,2022-01-03
5905,DE000GX590T6,6,5,5422.50,1,0,1317.00,,1,2022-01-03
5906,DE000GX594E0,7,6,4975.00,0,0,823.00,,1,2022-01-03
5907,DE000GX59EJ3,3,3,4033.00,0,0,1360.00,,1,2022-01-03
5908,DE000HB1T488,1,1,585.00,0,0,,,1,2022-01-03
5909,DE000GX609H9,2,2,1025.33,0,0,512.66,,1,2022-01-03
5910,DE000TT9WF11,1,1,501.51,0,0,,,1,2022-01-03
5911,DE000GX60FL4,1,1,252.45,0,0,,,1,2022-01-03
5912,DE000GX61KP3,1,1,763.60,0,0,,,1,2022-01-03
5913,DE000GX61L32,2,2,2112.42,0,0,1056.21,,1,2022-01-03
5914,DE000GX61SX0,2,2,511.80,0,0,255.90,,1,2022-01-03
5915,DE000GX61BY4,1,1,618.00,0,0,,,1,2022-01-03
5916,IE00BKY4W127,1,1,117.78,0,0,,,1,2022-01-03
5917,SE0017105620,4,3,1247.37,2,0,355.77,,1,2022-01-03
5918,DE000GX62P94,1,1,259.60,0,0,,,1,2022-01-03
5919,DE000GX62PP0,1,1,418.80,0,0,,,1,2022-01-03
5920,DE000GX62QF9,1,1,520.00,0,0,,,1,2022-01-03
5921,DE000TT9WXN5,1,1,555.30,0,0,,,1,2022-01-03
5922,DE000TT9XH67,4,2,548.64,1,0,274.32,,1,2022-01-03
5923,DE000TT9XHF2,1,1,250.60,0,0,,,1,2022-01-03
5924,DE000HB1V0J2,1,1,2520.00,0,0,,,1,2022-01-03
5925,DE000GX63EJ5,1,1,252.88,0,0,,,1,2022-01-03
5926,US91282CDN83,1,1,5300.01,0,0,,,1,2022-01-03
5927,DE000HB1VUS3,1,1,1332.00,0,0,,,1,2022-01-03
5928,DE000GX663W5,1,1,301.80,0,0,,,1,2022-01-03
5929,DE000HB1VY93,1,0,0,0,0,,,1,2022-01-03
5930,DE000HB1W243,1,1,253.44,0,0,,,1,2022-01-03
5931,DE000HB1W2Z3,1,0,0,0,0,,,1,2022-01-03
5932,IE000V93BNU0,2,1,259.98,0,0,,,1,2022-01-03
5933,DE000HB1WNR8,1,0,0,0,0,,,1,2022-01-03
5934,DE000HB1X381,1,0,0,1,0,,,1,2022-01-03
5935,DE000GX68854,8,8,2516.06,0,0,332.95,,1,2022-01-03
5936,DE000HB1XPE9,20,11,14056.79,1,0,604.20,,1,2022-01-03
5937,DE000GX69SZ8,8,2,1021.68,6,0,510.84,,1,2022-01-03
